Continent,Trade flow,Commodity,year,Quantity
Oceania,Import,Fish,2013,279660
Africa,Export,Crustaceans,2014,68829
Africa,Export,Fish,2014,1571349
Africa,Import,Crustaceans,2014,67054
Africa,Import,Fish,2014,3806711
Americas,Export,Crustaceans,2014,1002000
Americas,Export,Fish,2014,3565596
Americas,Import,Crustaceans,2014,935185
Americas,Import,Fish,2014,3065184
Asia,Export,Crustaceans,2014,1849723
Asia,Export,Fish,2014,8896090
Asia,Import,Crustaceans,2014,955691
Asia,Import,Fish,2014,8701886
Europe,Export,Crustaceans,2014,519252
Europe,Export,Fish,2014,11172620
Europe,Import,Crustaceans,2014,1052036
Europe,Import,Fish,2014,9319636
Oceania,Export,Crustaceans,2014,21439
Oceania,Export,Fish,2014,575165
Oceania,Import,Crustaceans,2014,46638
Oceania,Import,Fish,2014,341170
Africa,Export,Crustaceans,2015,60487
Africa,Export,Fish,2015,1732401
Africa,Import,Crustaceans,2015,68394
Africa,Import,Fish,2015,3679697
Americas,Export,Crustaceans,2015,1083749
Americas,Export,Fish,2015,3374127
Americas,Import,Crustaceans,2015,927429
Americas,Import,Fish,2015,3022762
Asia,Export,Crustaceans,2015,1700238
Asia,Export,Fish,2015,8380681
Asia,Import,Crustaceans,2015,949109
Asia,Import,Fish,2015,8684896
Europe,Export,Crustaceans,2015,513097
Europe,Export,Fish,2015,11014653
Europe,Import,Crustaceans,2015,991883
Europe,Import,Fish,2015,8908376
Oceania,Export,Crustaceans,2015,20283
Oceania,Export,Fish,2015,602569
Oceania,Import,Crustaceans,2015,41002
Oceania,Import,Fish,2015,285542
