Continente,Localidae,Fluxo Comercial,Mercadoria,Medida,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Togo,Export,Crustaceans,Quantidade,215,230,0,0,16,0,0,0,91,0,0,0,8,10,0,25
Africa,Togo,Export,Fish,Quantidade,6181,9038,8968,7051,6948,6121,5018,259,2146,3603,485,834,36,108,190,179
Africa,Togo,Import,Crustaceans,Quantidade,3,35,146,317,111,1,3,79,0,38,0,10,13,1,3,6
Africa,Togo,Import,Fish,Quantidade,29880,27893,17672,19769,12845,21541,15357,13934,10933,15524,39471,53175,53845,51069,48533,59978
Africa,Tunisia,Export,Crustaceans,Quantidade,7058,4448,3649,3683,3885,4531,3706,3118,3540,2865,2941,3350,2689,3289,3732,4258
Africa,Tunisia,Export,Fish,Quantidade,2297,3498,5144,3199,5183,8395,9692,11999,10709,9852,9732,14182,12733,11561,9743,10455
Africa,Tunisia,Import,Crustaceans,Quantidade,143,38,80,83,34,185,174,459,431,962,1433,1007,770,237,63,55
Africa,Tunisia,Import,Fish,Quantidade,11232,16982,17379,27722,25611,36368,37972,37479,43732,44926,43026,41737,45155,36069,38163,25388
Africa,Uganda,Export,Crustaceans,Quantidade,0,9,0,12,0,25,0,0,6,0,18,0,3,10,1,0
Africa,Uganda,Export,Fish,Quantidade,14499,17013,25125,25406,31327,38371,36120,30872,26552,22535,22711,19421,21182,20183,17530,17814
Africa,Uganda,Import,Crustaceans,Quantidade,6,6,7,9,14,10,11,15,20,17,12,10,18,29,72,45
Africa,Uganda,Import,Fish,Quantidade,64,10,89,639,167,310,261,322,710,474,780,1299,1242,948,1846,2111
Africa,Zambia,Export,Crustaceans,Quantidade,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0
Africa,Zambia,Export,Fish,Quantidade,710,980,765,613,582,1032,254,240,1817,686,430,75,53,145,228,334
Africa,Zambia,Import,Crustaceans,Quantidade,7,10,7,2,4,0,5,9,4,18,33,42,66,132,107,97
Africa,Zambia,Import,Fish,Quantidade,1327,906,2120,3407,3961,5796,3867,4635,3435,3261,4426,8412,17902,33017,55642,78047
Africa,Zimbabwe,Export,Crustaceans,Quantidade,1,2,2,0,2,0,0,2,0,0,0,0,3,0,0,0
Africa,Zimbabwe,Export,Fish,Quantidade,816,936,712,520,708,563,805,1439,1487,966,1137,2056,2516,3255,5878,4972
Africa,Zimbabwe,Import,Crustaceans,Quantidade,79,41,61,28,53,171,48,29,16,11,19,32,32,67,63,83
Africa,Zimbabwe,Import,Fish,Quantidade,7453,3062,1494,952,2636,825,3472,1939,2273,3379,9968,13572,15513,17277,18053,21148
