Continent,Land Area,Trade flow,Commodity,year,Quantity
Americas,Falkland Is.(Malvinas),Export,Fish,2001,13248
Americas,Falkland Is.(Malvinas),Import,Crustaceans,2001,2
Americas,Falkland Is.(Malvinas),Import,Fish,2001,102
Americas,Greenland,Export,Crustaceans,2001,57363
Americas,Greenland,Export,Fish,2001,54209
Americas,Greenland,Import,Crustaceans,2001,51
Americas,Greenland,Import,Fish,2001,214
Americas,Grenada,Export,Crustaceans,2001,19
Americas,Grenada,Export,Fish,2001,690
Americas,Grenada,Import,Crustaceans,2001,12
Americas,Grenada,Import,Fish,2001,915
Americas,Guatemala,Export,Crustaceans,2001,2130
Americas,Guatemala,Export,Fish,2001,19756
Americas,Guatemala,Import,Crustaceans,2001,363
Americas,Guatemala,Import,Fish,2001,4214
Americas,Guyana,Export,Crustaceans,2001,16261
Americas,Guyana,Export,Fish,2001,9848
Americas,Guyana,Import,Crustaceans,2001,32
Americas,Guyana,Import,Fish,2001,606
Americas,Haiti,Export,Crustaceans,2001,146
Americas,Haiti,Export,Fish,2001,270
Americas,Haiti,Import,Crustaceans,2001,0
Americas,Haiti,Import,Fish,2001,10990
Americas,Honduras,Export,Crustaceans,2001,12637
Americas,Honduras,Export,Fish,2001,2348
Americas,Honduras,Import,Crustaceans,2001,1076
Americas,Honduras,Import,Fish,2001,2888
Americas,Jamaica,Export,Crustaceans,2001,919
Americas,Jamaica,Export,Fish,2001,433
Americas,Jamaica,Import,Crustaceans,2001,419
Americas,Jamaica,Import,Fish,2001,26739
Americas,Mexico,Export,Crustaceans,2001,46516
Americas,Mexico,Export,Fish,2001,100328
Americas,Mexico,Import,Crustaceans,2001,10194
Americas,Mexico,Import,Fish,2001,63338
Americas,Montserrat,Import,Crustaceans,2001,0
Americas,Montserrat,Import,Fish,2001,72
Americas,Netherlands Antilles,Export,Crustaceans,2001,55
Americas,Netherlands Antilles,Export,Fish,2001,7793
Americas,Netherlands Antilles,Import,Crustaceans,2001,123
Americas,Netherlands Antilles,Import,Fish,2001,2036
Americas,Nicaragua,Export,Crustaceans,2001,4974
Americas,Nicaragua,Export,Fish,2001,2664
Americas,Nicaragua,Import,Crustaceans,2001,494
Americas,Nicaragua,Import,Fish,2001,2571
Americas,Panama,Export,Crustaceans,2001,10910
Americas,Panama,Export,Fish,2001,65687
Americas,Panama,Import,Crustaceans,2001,78
Americas,Panama,Import,Fish,2001,7522
Americas,Paraguay,Export,Fish,2001,29
Americas,Paraguay,Import,Crustaceans,2001,15
Americas,Paraguay,Import,Fish,2001,719
Americas,Peru,Export,Crustaceans,2001,1816
Americas,Peru,Export,Fish,2001,93034
Americas,Peru,Import,Crustaceans,2001,36
Americas,Peru,Import,Fish,2001,35332
Americas,Saint Kitts and Nevis,Export,Crustaceans,2001,43
Americas,Saint Kitts and Nevis,Export,Fish,2001,0
Americas,Saint Kitts and Nevis,Import,Crustaceans,2001,13
Americas,Saint Kitts and Nevis,Import,Fish,2001,454
Americas,Saint Lucia,Export,Crustaceans,2001,0
Americas,Saint Lucia,Export,Fish,2001,0
Americas,Saint Lucia,Import,Crustaceans,2001,77
Americas,Saint Lucia,Import,Fish,2001,1003
Americas,Saint Vincent/Grenadines,Export,Crustaceans,2001,64
Americas,Saint Vincent/Grenadines,Export,Fish,2001,74
Americas,Saint Vincent/Grenadines,Import,Crustaceans,2001,38
Americas,Saint Vincent/Grenadines,Import,Fish,2001,386
Americas,St. Pierre and Miquelon,Export,Crustaceans,2001,78
Americas,St. Pierre and Miquelon,Export,Fish,2001,1087
Americas,St. Pierre and Miquelon,Import,Crustaceans,2001,3
Americas,St. Pierre and Miquelon,Import,Fish,2001,21
Americas,Suriname,Export,Crustaceans,2001,8710
Americas,Suriname,Export,Fish,2001,8484
Americas,Suriname,Import,Crustaceans,2001,20
Americas,Suriname,Import,Fish,2001,1533
Americas,Trinidad and Tobago,Export,Crustaceans,2001,234
Americas,Trinidad and Tobago,Export,Fish,2001,4856
Americas,Trinidad and Tobago,Import,Crustaceans,2001,68
Americas,Trinidad and Tobago,Import,Fish,2001,5264
Americas,Turks and Caicos Is.,Export,Crustaceans,2001,157
Americas,Turks and Caicos Is.,Export,Fish,2001,1
Americas,Turks and Caicos Is.,Import,Crustaceans,2001,128
Americas,Turks and Caicos Is.,Import,Fish,2001,206
Americas,United States of America,Export,Crustaceans,2001,60730
Americas,United States of America,Export,Fish,2001,970365
Americas,United States of America,Import,Crustaceans,2001,553940
Americas,United States of America,Import,Fish,2001,1062632
Americas,Uruguay,Export,Crustaceans,2001,1311
Americas,Uruguay,Export,Fish,2001,62620
Americas,Uruguay,Import,Crustaceans,2001,147
Americas,Uruguay,Import,Fish,2001,10565
Americas,"Venezuela, Boliv Rep of",Export,Crustaceans,2001,13726
Americas,"Venezuela, Boliv Rep of",Export,Fish,2001,48715
Americas,"Venezuela, Boliv Rep of",Import,Crustaceans,2001,399
Americas,"Venezuela, Boliv Rep of",Import,Fish,2001,34642
Americas,Antigua and Barbuda,Export,Crustaceans,2002,12
Americas,Antigua and Barbuda,Export,Fish,2002,61
Americas,Antigua and Barbuda,Import,Crustaceans,2002,74
Americas,Antigua and Barbuda,Import,Fish,2002,660
Americas,Argentina,Export,Crustaceans,2002,52547
Americas,Argentina,Export,Fish,2002,274687
Americas,Argentina,Import,Crustaceans,2002,46
Americas,Argentina,Import,Fish,2002,6854
Americas,Aruba,Export,Fish,2002,335
Americas,Aruba,Import,Crustaceans,2002,49
Americas,Aruba,Import,Fish,2002,1516
Americas,Bahamas,Export,Crustaceans,2002,2624
Americas,Bahamas,Export,Fish,2002,46
Americas,Bahamas,Import,Crustaceans,2002,495
Americas,Bahamas,Import,Fish,2002,2967
Americas,Barbados,Export,Crustaceans,2002,1
Americas,Barbados,Export,Fish,2002,206
Americas,Barbados,Import,Crustaceans,2002,225
Americas,Barbados,Import,Fish,2002,4383
Americas,Belize,Export,Crustaceans,2002,657
Americas,Belize,Export,Fish,2002,38
Americas,Belize,Import,Crustaceans,2002,7
Americas,Belize,Import,Fish,2002,636
Americas,Bermuda,Export,Crustaceans,2002,0
Americas,Bermuda,Export,Fish,2002,3
Americas,Bermuda,Import,Crustaceans,2002,226
Americas,Bermuda,Import,Fish,2002,815
Americas,Bolivia (Plurinat.State),Export,Fish,2002,7
Americas,Bolivia (Plurinat.State),Import,Crustaceans,2002,21
Americas,Bolivia (Plurinat.State),Import,Fish,2002,6404
Americas,Brazil,Export,Crustaceans,2002,44062
Americas,Brazil,Export,Fish,2002,50026
Americas,Brazil,Import,Crustaceans,2002,270
Americas,Brazil,Import,Fish,2002,146873
Americas,Canada,Export,Crustaceans,2002,197883
Americas,Canada,Export,Fish,2002,341808
Americas,Canada,Import,Crustaceans,2002,82398
Americas,Canada,Import,Fish,2002,241465
Americas,Cayman Islands,Export,Fish,2002,60
Americas,Cayman Islands,Import,Crustaceans,2002,74
Americas,Cayman Islands,Import,Fish,2002,165
Americas,Chile,Export,Crustaceans,2002,3779
Americas,Chile,Export,Fish,2002,623033
Americas,Chile,Import,Crustaceans,2002,369
Americas,Chile,Import,Fish,2002,9864
Americas,Colombia,Export,Crustaceans,2002,13598
Americas,Colombia,Export,Fish,2002,58923
Americas,Colombia,Import,Crustaceans,2002,173
Americas,Colombia,Import,Fish,2002,67459
Americas,Costa Rica,Export,Crustaceans,2002,3349
Americas,Costa Rica,Export,Fish,2002,43958
Americas,Costa Rica,Import,Crustaceans,2002,347
Americas,Costa Rica,Import,Fish,2002,26892
Americas,Cuba,Export,Crustaceans,2002,7234
Americas,Cuba,Export,Fish,2002,1480
Americas,Cuba,Import,Crustaceans,2002,41
Americas,Cuba,Import,Fish,2002,15697
Americas,Curaçao,Export,Crustaceans,2002,0
Americas,Curaçao,Export,Fish,2002,0
Americas,Curaçao,Import,Crustaceans,2002,0
Americas,Curaçao,Import,Fish,2002,0
Americas,Dominica,Export,Fish,2002,0
Americas,Dominica,Import,Crustaceans,2002,4
Americas,Dominica,Import,Fish,2002,570
Americas,Dominican Republic,Export,Crustaceans,2002,76
Americas,Dominican Republic,Export,Fish,2002,2152
Americas,Dominican Republic,Import,Crustaceans,2002,695
Americas,Dominican Republic,Import,Fish,2002,39804
Americas,Ecuador,Export,Crustaceans,2002,46937
Americas,Ecuador,Export,Fish,2002,193642
Americas,Ecuador,Import,Crustaceans,2002,55
Americas,Ecuador,Import,Fish,2002,25510
Americas,El Salvador,Export,Crustaceans,2002,1662
Americas,El Salvador,Export,Fish,2002,6328
Americas,El Salvador,Import,Crustaceans,2002,378
Americas,El Salvador,Import,Fish,2002,3921
Americas,Falkland Is.(Malvinas),Export,Fish,2002,17888
Americas,Falkland Is.(Malvinas),Import,Crustaceans,2002,1
Americas,Falkland Is.(Malvinas),Import,Fish,2002,3
Americas,Greenland,Export,Crustaceans,2002,63741
Americas,Greenland,Export,Fish,2002,63044
Americas,Greenland,Import,Crustaceans,2002,139
Americas,Greenland,Import,Fish,2002,231
Americas,Grenada,Export,Crustaceans,2002,1
Americas,Grenada,Export,Fish,2002,623
Americas,Grenada,Import,Crustaceans,2002,9
Americas,Grenada,Import,Fish,2002,909
Americas,Guatemala,Export,Crustaceans,2002,6986
Americas,Guatemala,Export,Fish,2002,4139
Americas,Guatemala,Import,Crustaceans,2002,978
Americas,Guatemala,Import,Fish,2002,8215
