Continente,Localidae,Fluxo Comercial,Mercadoria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Americas,Bermuda,Import,Crustaceans,206,210,226,207,181,331,351,321,257,201,252,237,181,234,218,175
Americas,Bermuda,Import,Fish,704,938,815,741,774,1570,1743,1768,1600,1453,1065,1229,1602,1788,1790,1940
Americas,Bolivia (Plurinat.State),Export,Fish,29,85,7,19,0,1,0,12,32,33,3,0,0,0,0,0
Americas,Bolivia (Plurinat.State),Import,Crustaceans,43,29,21,15,15,17,9,8,4,5,9,9,14,22,23,42
Americas,Bolivia (Plurinat.State),Import,Fish,10735,6621,6404,4653,6152,7999,7930,4826,9513,8970,7614,10983,10787,10973,12179,13727
Americas,Brazil,Export,Crustaceans,16031,26688,44062,64953,58311,48370,36795,19503,13663,8797,5171,3451,2393,3355,2784,2775
Americas,Brazil,Export,Fish,40960,45137,50026,45776,45033,42743,39373,37785,29978,27235,27898,34336,38376,31868,29396,31950
Americas,Brazil,Import,Crustaceans,604,539,270,35,78,37,27,99,39,113,42,56,32,57,43,30
Americas,Brazil,Import,Fish,192984,166009,146873,151483,157793,145619,178149,206856,215524,235132,275051,338665,358605,410160,392935,321619
Americas,Canada,Export,Crustaceans,142603,166249,197883,199212,218557,210998,223098,228811,196808,197919,219145,212546,218892,233017,231151,237430
Americas,Canada,Export,Fish,304080,321201,341808,353941,381478,418809,409213,374548,369975,343640,362657,331520,310644,295989,276186,308336
Americas,Canada,Import,Crustaceans,94447,100708,82398,64436,72659,75940,82695,84511,75963,83966,93946,101871,103889,93698,102471,93623
Americas,Canada,Import,Fish,224256,230655,241465,238191,236746,232584,231269,237519,230636,242283,236468,249937,251025,268284,262453,256856
Americas,Cayman Islands,Export,Fish,100,62,60,8,34,46,58,34,50,91,40,30,0,0,0,21
Americas,Cayman Islands,Import,Crustaceans,52,66,74,75,62,32,109,90,83,93,82,46,78,80,98,101
Americas,Cayman Islands,Import,Fish,87,148,165,163,199,118,348,542,322,435,519,501,535,396,355,289
Americas,Chile,Export,Crustaceans,6729,5207,3779,3203,3391,4182,3928,3409,3873,3305,4639,5495,5610,6181,6701,6693
Americas,Chile,Export,Fish,483256,687117,623033,563254,654330,717208,688900,719748,634266,604114,444353,521167,635122,701191,729992,709058
Americas,Chile,Import,Crustaceans,449,370,369,422,536,744,983,1426,1829,2026,3215,4182,5208,5629,6665,7403
Americas,Chile,Import,Fish,9471,7562,9864,11244,16167,17055,18909,47902,23213,17578,26598,52004,40453,40900,39033,49989
Americas,Colombia,Export,Crustaceans,10981,13074,13598,14321,13841,17513,17877,16637,17747,17459,12954,8150,9082,3174,2500,2661
Americas,Colombia,Export,Fish,81683,66406,58923,53040,62475,59550,48241,55819,72683,62159,46855,57230,50810,52904,64281,50937
Americas,Colombia,Import,Crustaceans,178,234,173,297,509,856,1305,1773,2234,2296,3041,3744,4284,5957,5627,5532
Americas,Colombia,Import,Fish,54940,59189,67459,75014,86123,96809,99928,98578,101161,91158,95657,103818,111939,135720,145636,141451
Americas,Costa Rica,Export,Crustaceans,2096,2740,3349,2199,2457,2281,1649,1029,726,619,516,709,813,1278,1419,1486
Americas,Costa Rica,Export,Fish,30828,41715,43958,38113,30313,32074,26573,24204,27934,23654,20824,24004,24800,25813,22960,20614
Americas,Costa Rica,Import,Crustaceans,209,450,347,467,339,277,492,502,490,577,748,1189,1371,1093,1597,1794
Americas,Costa Rica,Import,Fish,16263,19969,26892,23695,23263,22295,20533,20046,26340,26108,23436,36528,28434,30701,42711,46617
Americas,Cuba,Export,Crustaceans,7271,6143,7234,4747,5701,6304,6590,6396,5688,5438,5182,3930,3221,3390,3081,5182
Americas,Cuba,Export,Fish,317,665,1480,1459,4530,393,591,678,405,437,503,391,363,374,339,324
Americas,Cuba,Import,Crustaceans,15,76,41,27,54,68,38,78,50,14,14,4,11,10,11,26
Americas,Cuba,Import,Fish,29947,28089,15697,27863,53661,42368,21050,24076,30015,19717,12462,13086,9800,9090,11367,14547
Americas,Curaçao,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,116,0,0,1,7
Americas,Curaçao,Export,Fish,0,0,0,0,0,0,0,0,0,0,0,12707,15329,16334,18146,19815
Americas,Curaçao,Import,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,281,65,186,182,140
Americas,Curaçao,Import,Fish,0,0,0,0,0,0,0,0,0,0,0,1604,1514,1461,1306,1491
Americas,Dominica,Export,Fish,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0
Americas,Dominica,Import,Crustaceans,5,2,4,3,3,8,4,8,7,28,16,22,16,10,2,2
Americas,Dominica,Import,Fish,671,569,570,507,580,509,427,547,515,689,307,421,371,394,935,1026
Americas,Dominican Republic,Export,Crustaceans,39,45,76,57,25,136,123,168,167,99,244,475,289,461,392,586
Americas,Dominican Republic,Export,Fish,1510,1499,2152,4319,1231,1519,826,768,1156,1249,1968,4887,3148,3351,4270,2978
Americas,Dominican Republic,Import,Crustaceans,172,228,695,817,847,1155,2392,1995,2349,4319,2307,2616,2139,1628,2284,2137
Americas,Dominican Republic,Import,Fish,27563,27163,39804,34370,31998,33023,35060,35267,41832,41123,40714,42524,43769,34042,31324,35249
Americas,Ecuador,Export,Crustaceans,35069,45539,46937,53882,69870,91448,119370,126138,125131,135337,149009,188454,210325,225201,300732,358028
Americas,Ecuador,Export,Fish,170314,196161,193642,215668,199129,218781,257604,247183,262531,258741,259272,322927,311722,343073,365157,342297
Americas,Ecuador,Import,Crustaceans,9,30,55,141,141,109,73,111,101,62,80,111,762,617,382,20
Americas,Ecuador,Import,Fish,1983,5726,25510,27061,17202,5380,8805,38203,132318,163239,152399,168316,88507,53001,80910,69548
Americas,El Salvador,Export,Crustaceans,1989,2505,1662,1892,1251,1256,934,1079,377,651,590,144,57,180,92,72
Americas,El Salvador,Export,Fish,1061,445,6328,10249,12849,16842,14450,18648,19055,19245,14963,15422,18547,21106,20913,19758
Americas,El Salvador,Import,Crustaceans,311,287,378,655,821,980,1652,2585,1567,6716,3083,937,948,633,3527,495
Americas,El Salvador,Import,Fish,4317,5982,3921,7307,10932,31539,18267,25109,10811,34657,21370,13204,16283,22262,20904,20738
Americas,Falkland Is.(Malvinas),Export,Fish,13982,13248,17888,18805,21117,19653,20363,12040,16937,21925,38027,24666,7561,24569,21851,5263
Americas,Falkland Is.(Malvinas),Import,Crustaceans,1,2,1,5,2,4,23,19,6,7,7,8,2,0,0,1
Americas,Falkland Is.(Malvinas),Import,Fish,52,102,3,7,54,23,10,20,25,26,27,27,23,24,28,26
Americas,Greenland,Export,Crustaceans,55274,57363,63741,73797,74011,84422,75783,49856,72641,65637,68897,67272,63277,56501,55326,41715
Americas,Greenland,Export,Fish,48076,54209,63044,69696,46143,53724,59944,60707,46551,39267,45129,44349,68465,139569,170571,142613
Americas,Greenland,Import,Crustaceans,53,51,139,110,61,60,458,24,49,1443,923,164,62,67,345,610
Americas,Greenland,Import,Fish,182,214,231,496,1457,330,405,208,333,316,347,525,501,626,378,440
Americas,Grenada,Export,Crustaceans,3,19,1,11,6,7,6,1,4,5,5,2,4,5,16,7
Americas,Grenada,Export,Fish,1140,690,623,613,448,490,513,529,432,643,775,699,649,891,1095,750
Americas,Grenada,Import,Crustaceans,13,12,9,19,16,19,44,49,54,29,15,18,9,12,10,11
Americas,Grenada,Import,Fish,636,915,909,1002,1048,1030,1047,1179,1031,854,584,566,602,475,612,465
Americas,Guatemala,Export,Crustaceans,3471,2130,6986,9956,9033,5475,11576,15409,14627,13081,9689,8631,11158,11094,12367,11612
Americas,Guatemala,Export,Fish,28037,19756,4139,1523,5557,7798,7966,9558,6223,17485,25650,24455,11433,11648,12123,7425
Americas,Guatemala,Import,Crustaceans,392,363,978,1020,1830,843,1187,2048,1840,2114,2768,3676,2987,4020,7904,7603
Americas,Guatemala,Import,Fish,3422,4214,8215,6750,14738,24576,19863,20401,10128,17433,21741,17043,26637,23684,24806,18687
Americas,Guyana,Export,Crustaceans,12523,16261,12278,14981,14091,16843,15210,20842,22700,13152,11946,10478,17982,14514,5678,7500
Americas,Guyana,Export,Fish,9165,9848,10243,9861,13478,12800,13154,13669,13832,10076,7762,9921,9783,11565,15634,13295
Americas,Guyana,Import,Crustaceans,0,32,27,25,7,2,0,170,1,1,3,1,3,2,1,8
Americas,Guyana,Import,Fish,725,606,1231,804,1082,1034,976,1654,543,807,873,1212,1406,1311,1247,1171
Americas,Haiti,Export,Crustaceans,146,146,177,165,136,155,142,185,168,141,153,235,151,163,133,181
Americas,Haiti,Export,Fish,278,270,221,160,261,150,136,210,301,400,270,287,224,152,180,174
Americas,Haiti,Import,Crustaceans,1,0,1,0,18,15,15,16,18,16,29,33,32,25,39,65
Americas,Haiti,Import,Fish,9045,10990,6652,8827,10408,9409,13518,14468,15055,16372,12467,16882,10194,20134,19291,21578
Americas,Honduras,Export,Crustaceans,11295,12637,16917,20438,23324,24196,29711,21041,19352,23842,21976,16152,31134,40524,55636,52608
Americas,Honduras,Export,Fish,1657,2348,4192,3432,5048,8346,8925,9134,9269,6176,3566,5350,8604,12449,12697,12252
Americas,Honduras,Import,Crustaceans,1111,1076,1028,1183,1287,1065,1199,1436,2614,1374,2290,2514,1986,2265,2044,3226
Americas,Honduras,Import,Fish,3129,2888,2718,3211,2736,4667,4064,4633,4840,5117,4527,6877,7563,6591,4834,6870
Americas,Jamaica,Export,Crustaceans,308,919,141,625,1017,917,933,545,733,556,632,803,595,648,397,301
Americas,Jamaica,Export,Fish,503,433,359,279,224,458,667,564,515,179,251,327,212,154,120,28
Americas,Jamaica,Import,Crustaceans,368,419,390,371,484,703,703,1081,940,947,1030,891,879,762,827,805
Americas,Jamaica,Import,Fish,22547,26739,27221,27792,27023,29132,30436,33894,29474,26088,25039,26817,26497,26699,26726,25959
Americas,Mexico,Export,Crustaceans,44582,46516,31914,31559,34405,32836,41438,46047,41128,49681,27480,38802,33458,25499,26700,36461
Americas,Mexico,Export,Fish,85860,100328,84029,103368,44141,57328,59050,73163,78879,85988,89038,182106,121025,72711,90922,63089
Americas,Mexico,Import,Crustaceans,7495,10194,9375,11055,9968,14902,15758,22442,25033,17935,22077,19855,21314,32267,35967,20756
Americas,Mexico,Import,Fish,47511,63338,46217,60226,99227,94869,132241,153866,145818,110844,149041,156475,160077,166878,193488,217744
Americas,Montserrat,Import,Crustaceans,0,0,0,1,0,1,1,1,2,2,2,2,3,3,3,4
Americas,Montserrat,Import,Fish,71,72,73,61,67,66,61,76,62,62,49,48,61,67,59,68
Americas,Netherlands Antilles,Export,Crustaceans,122,55,0,57,122,40,2,0,0,0,2,0,0,0,0,0
Americas,Netherlands Antilles,Export,Fish,7201,7793,6588,8155,8845,2157,3110,1990,10200,15519,12800,0,0,0,0,0
Americas,Netherlands Antilles,Import,Crustaceans,247,123,91,94,130,292,374,316,909,304,393,0,0,0,0,0
Americas,Netherlands Antilles,Import,Fish,2089,2036,1317,1579,1839,1832,2424,2100,2621,3103,2703,0,0,0,0,0
Americas,Nicaragua,Export,Crustaceans,9400,4974,6076,9342,12193,13922,12159,14022,15966,16724,17574,16674,28143,31165,33971,31931
Americas,Nicaragua,Export,Fish,2617,2664,3361,3619,4082,5023,4738,5301,4720,5220,5775,5583,5154,5446,6339,5338
Americas,Nicaragua,Import,Crustaceans,608,494,369,82,22,12,12,100,194,37,13,431,463,153,143,170
Americas,Nicaragua,Import,Fish,3065,2571,3373,3167,2699,3714,3712,3744,2552,3281,2907,3961,4836,4733,5090,7419
Americas,Panama,Export,Crustaceans,7927,10910,8761,9420,9689,10468,9763,10054,6862,7577,7485,5770,6938,9299,11761,11785
Americas,Panama,Export,Fish,52553,65687,66894,82863,84250,84665,83949,77816,94231,91265,50274,27142,21862,23915,30290,31399
Americas,Panama,Import,Crustaceans,78,78,134,143,120,106,94,196,264,163,179,295,345,558,802,746
Americas,Panama,Import,Fish,7527,7522,7772,9793,8005,10249,9478,10050,11052,11315,11778,13129,15634,15715,16559,18463
Americas,Paraguay,Export,Fish,26,29,44,117,271,320,260,143,89,33,8,5,6,5,6,6
Americas,Paraguay,Import,Crustaceans,29,15,14,9,11,13,24,15,33,46,42,98,26,103,71,103
Americas,Paraguay,Import,Fish,653,719,444,380,654,777,582,917,1451,1341,1705,1545,1756,1869,2293,1875
Americas,Peru,Export,Crustaceans,1133,1816,3020,3505,5276,7207,8614,10450,10854,11799,10670,13226,14071,13898,16082,18724
Americas,Peru,Export,Fish,77333,93034,46190,46822,48846,41237,97787,107196,106049,89301,56720,139327,132256,92359,85515,67502
Americas,Peru,Import,Crustaceans,5,36,85,223,247,156,106,71,406,164,403,660,773,1183,1487,3486
Americas,Peru,Import,Fish,26785,35332,38872,30934,33064,63429,23448,37581,41135,59654,109452,65712,59502,100782,94246,111799
Americas,Saint Kitts and Nevis,Export,Crustaceans,71,43,3,7,5,0,62,89,101,82,136,164,100,90,90,100
Americas,Saint Kitts and Nevis,Export,Fish,2,0,0,0,0,0,0,6,6,7,5,4,4,9,6,1
Americas,Saint Kitts and Nevis,Import,Crustaceans,22,13,18,18,39,36,44,41,86,48,75,48,47,46,44,68
Americas,Saint Kitts and Nevis,Import,Fish,790,454,736,597,581,521,750,678,684,763,798,636,396,572,550,647
Americas,Saint Lucia,Export,Crustaceans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Americas,Saint Lucia,Export,Fish,0,0,13,0,0,0,0,0,25,0,0,0,14,0,0,1
Americas,Saint Lucia,Import,Crustaceans,62,77,64,104,245,295,139,192,134,102,86,86,98,35,160,118
Americas,Saint Lucia,Import,Fish,1108,1003,1226,1354,1657,2305,1607,1592,1677,1236,1097,1071,1298,1050,1577,1587
Americas,Saint Vincent/Grenadines,Export,Crustaceans,47,64,110,41,55,41,20,13,21,31,73,21,21,22,54,48
Americas,Saint Vincent/Grenadines,Export,Fish,199,74,29,53,18,11,29,33,30,18,21,17,31,28,23,33
Americas,Saint Vincent/Grenadines,Import,Crustaceans,13,38,27,21,16,17,16,49,44,28,39,16,29,28,26,56
Americas,Saint Vincent/Grenadines,Import,Fish,402,386,393,448,444,460,456,445,537,428,419,345,419,398,389,502
Americas,St. Pierre and Miquelon,Export,Crustaceans,18,78,1,1,113,130,165,136,98,120,116,128,325,250,90,45
Americas,St. Pierre and Miquelon,Export,Fish,1754,1087,1025,894,1036,1255,1328,1656,1637,936,807,475,403,485,398,219
Americas,St. Pierre and Miquelon,Import,Crustaceans,2,3,2,2,3,1,1,19,1,4,3,4,6,3,3,6
Americas,St. Pierre and Miquelon,Import,Fish,37,21,82,11,15,4,30,26,19,4,6,25,19,27,26,37
Americas,Suriname,Export,Crustaceans,7630,8710,6147,6581,6806,5674,5579,5472,4002,5083,3808,3123,3265,3653,3028,2935
Americas,Suriname,Export,Fish,8595,8484,4511,4623,4797,4531,5388,5756,10554,12154,12002,12599,13715,14543,14194,15409
Americas,Suriname,Import,Crustaceans,196,20,525,500,18,6,2,2,2,3,5,2,55,180,53,85
Americas,Suriname,Import,Fish,1683,1533,1558,1912,2207,2451,1639,2217,1357,1763,2098,1321,1752,1942,1962,2208
Americas,Trinidad and Tobago,Export,Crustaceans,155,234,170,193,140,153,134,83,77,87,48,68,43,33,29,9
Americas,Trinidad and Tobago,Export,Fish,4204,4856,4892,3810,2948,2910,6357,3844,3763,4250,3439,3788,3562,4008,3773,5423
Americas,Trinidad and Tobago,Import,Crustaceans,40,68,91,79,205,569,344,464,723,624,734,959,1325,1444,1578,1054
Americas,Trinidad and Tobago,Import,Fish,3438,5264,8438,6863,8066,12115,8412,8466,7731,8146,7836,9986,11608,13814,11515,12513
Americas,Turks and Caicos Is.,Export,Crustaceans,100,157,131,121,194,253,266,242,101,96,63,79,87,49,74,84
Americas,Turks and Caicos Is.,Export,Fish,0,1,0,8,0,13,18,4,6,0,0,0,0,28,41,0
Americas,Turks and Caicos Is.,Import,Crustaceans,85,128,93,121,117,183,292,382,363,366,231,276,275,173,347,402
Americas,Turks and Caicos Is.,Import,Fish,195,206,215,211,231,531,853,927,950,1019,686,955,1215,1125,1055,1063
Americas,United States of America,Export,Crustaceans,67079,60730,66599,67547,56772,59444,57223,57907,62806,58645,68344,87887,96583,91214,100192,100661
Americas,United States of America,Export,Fish,783804,970365,922380,962389,1132819,1171988,1153878,1153546,1046338,963093,1022960,1245714,1173520,1230275,1235369,1175860
Americas,United States of America,Import,Crustaceans,476320,553940,590505,672545,693370,709059,777372,752002,736856,723676,733985,731240,704366,696274,757216,773515
Americas,United States of America,Import,Fish,1074345,1062632,1149612,1240652,1264154,1320874,1348617,1365235,1339658,1354942,1430527,1416432,1474375,1486740,1494973,1516759
Americas,Uruguay,Export,Crustaceans,2078,1311,1544,2092,1540,1413,1830,1889,1167,1306,1432,976,446,654,685,385
Americas,Uruguay,Export,Fish,64391,62620,63375,76940,86722,77859,69592,67076,98267,84998,77347,91337,76580,54511,61854,51685
Americas,Uruguay,Import,Crustaceans,117,147,81,133,61,232,185,345,257,217,264,353,284,383,438,372
Americas,Uruguay,Import,Fish,6810,10565,10835,13973,14541,13836,20902,28106,32097,33330,35017,28082,25860,22875,19650,14907
Americas,"Venezuela, Boliv Rep of",Export,Crustaceans,19088,13726,13600,16612,24644,18169,9654,17239,17436,10476,10764,10472,11116,11757,11475,16526
Americas,"Venezuela, Boliv Rep of",Export,Fish,23958,48715,36089,46066,59336,43894,1708,1886,470,143,205,173,38,14,99,9
Americas,"Venezuela, Boliv Rep of",Import,Crustaceans,363,399,658,515,635,344,269,296,358,464,1035,665,617,665,434,235
Americas,"Venezuela, Boliv Rep of",Import,Fish,20525,34642,21520,10308,18080,15545,18057,37224,46311,55130,41524,44182,59508,52962,58064,11175
Asia,Afghanistan,Import,Fish,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Asia,Armenia,Export,Crustaceans,20,5,391,761,804,716,968,797,906,639,898,1346,2087,4618,4009,2786
Asia,Armenia,Export,Fish,11,97,53,28,68,131,80,70,81,23,432,1313,1844,2269,1733,1649
Asia,Armenia,Import,Crustaceans,4,0,1,4,0,0,1,0,8,14,14,11,34,47,25,49
Asia,Armenia,Import,Fish,799,1080,1239,870,833,6729,1791,1739,3436,3798,2595,3658,3539,2946,2604,2578
Asia,Azerbaijan,Export,Fish,1738,364,59,336,2300,3055,538,856,517,493,246,270,0,32,0,0
Asia,Azerbaijan,Import,Crustaceans,1,2,6,8,3,15,20,25,26,38,118,193,165,200,278,136
Asia,Azerbaijan,Import,Fish,2827,2344,3932,4180,5076,6977,7413,7870,10998,11678,12412,13417,14957,17480,10713,7635
Asia,Bahrain,Export,Crustaceans,3362,4023,4012,3757,5545,4405,3879,4086,4704,4951,4326,6920,6032,6520,5392,5910
Asia,Bahrain,Export,Fish,1342,1687,2365,2701,2357,1271,2907,2200,2434,3030,1761,1547,2598,1782,1430,3087
Asia,Bahrain,Import,Crustaceans,159,182,582,309,444,832,777,438,578,1010,610,831,1035,1002,2413,2980
Asia,Bahrain,Import,Fish,2553,2898,3073,2930,2881,4422,3952,4074,7133,6906,6422,8309,8780,8618,10208,9473
Asia,Bangladesh,Export,Crustaceans,28813,33583,29712,34510,42096,40900,45364,67817,58062,44030,51864,53827,34207,50194,52680,37730
Asia,Bangladesh,Export,Fish,9728,7196,7678,6644,8161,15797,14170,19682,26149,20347,26313,32621,18303,19453,16724,15127
Asia,Bangladesh,Import,Crustaceans,186,41,184,55,569,219,238,141,116,1069,259,557,231,377,363,360
Asia,Bangladesh,Import,Fish,1680,2518,7517,3057,3627,1876,3544,7744,5473,9796,24229,18136,27692,62470,83591,109796
Asia,Bhutan,Export,Fish,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Asia,Bhutan,Import,Crustaceans,0,0,0,0,0,0,1,1,1,36,2,3,14,3,0,1
Asia,Bhutan,Import,Fish,0,0,0,0,0,1775,2131,2100,1723,1776,1932,2136,2630,2790,2770,2668
Asia,Brunei Darussalam,Export,Crustaceans,17,43,61,110,273,437,655,512,215,194,198,81,82,220,269,223
Asia,Brunei Darussalam,Export,Fish,268,105,8,28,6,15,79,35,83,183,335,563,1167,966,1168,1090
Asia,Brunei Darussalam,Import,Crustaceans,764,1517,860,808,1540,598,1338,601,500,440,470,386,1579,1820,1597,1634
Asia,Brunei Darussalam,Import,Fish,4367,5189,4339,5432,6631,5945,5638,4965,5167,4493,5377,6035,6948,9045,6766,6520
Asia,Cambodia,Export,Crustaceans,684,840,399,391,5202,3593,829,273,173,167,306,347,289,221,192,137
Asia,Cambodia,Export,Fish,42685,37184,51980,55904,40335,48383,29092,23768,24767,29829,34440,29616,30689,31772,31492,32287
Asia,Cambodia,Import,Crustaceans,1,2,1,0,51,3898,392,14,15,15,173,63,58,94,312,144
Asia,Cambodia,Import,Fish,3162,1069,1241,2137,2978,2745,3307,2703,2093,4382,2926,3815,2773,1363,10211,6315
Asia,China,Export,Crustaceans,142393,166994,198285,272915,323157,324760,389068,363523,331750,327930,623141,527895,381593,378423,345563,297373
Asia,China,Export,Fish,1028335,1366368,1348747,1346943,1550707,1699608,2001687,2068960,2038431,2041639,2302025,2755111,2678625,2760685,2881463,2780461
Asia,China,Import,Crustaceans,80582,84824,92419,104819,98834,95749,99835,93864,84754,90456,117506,120209,128311,144566,153482,176069
Asia,China,Import,Fish,921631,1018412,1032095,1126992,1390275,1629824,1768799,1857213,1851089,1841380,2063526,2216891,2030365,2193973,2231108,2027055
Asia,"China, Hong Kong SAR",Export,Crustaceans,621,265,188,129,118,53,92,40,46,73,30,106,81,46,32,60
Asia,"China, Hong Kong SAR",Export,Fish,47870,43603,44178,39378,39554,38237,37350,33878,34196,35149,35338,37017,33935,37153,35496,32120
Asia,"China, Hong Kong SAR",Import,Crustaceans,60379,55255,56103,50440,46965,48863,58895,59123,56240,66791,69572,68999,80279,81470,80062,72788
Asia,"China, Hong Kong SAR",Import,Fish,180241,215780,218301,221014,227962,218042,226935,216257,193906,198639,243380,242602,252392,271959,277795,294298
Asia,"China, Macao SAR",Export,Crustaceans,301,280,261,193,183,89,24,20,19,27,0,0,0,0,0,0
Asia,"China, Macao SAR",Export,Fish,11,0,0,0,75,71,130,77,105,473,0,0,0,0,0,0
Asia,"China, Macao SAR",Import,Crustaceans,1190,1794,2410,3164,2834,2448,2720,3125,3146,3210,3374,3315,3440,3657,4283,5111
Asia,"China, Macao SAR",Import,Fish,8833,9843,10501,14021,12944,13024,14213,13935,13607,13991,14163,14355,14345,13965,15989,16061
Asia,Cyprus,Export,Crustaceans,37,79,60,14,6,24,1,1,0,0,0,0,0,8,0,24
Asia,Cyprus,Export,Fish,687,666,657,574,2490,2988,2700,2562,2646,2166,2686,3303,3107,4339,3541,4549
Asia,Cyprus,Import,Crustaceans,484,680,438,540,695,882,1044,1236,1438,1390,1485,1519,1440,1182,1354,1317
Asia,Cyprus,Import,Fish,5354,5959,5866,6941,11031,11813,9598,11538,11716,8049,8436,8562,7963,8207,8303,8281
Asia,Georgia,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1
Asia,Georgia,Export,Fish,831,2971,342,7781,3263,16303,6235,7035,14054,20533,21830,8245,1293,1666,4314,12232
Asia,Georgia,Import,Crustaceans,0,1,0,0,53,73,55,46,89,25,26,63,54,58,60,90
Asia,Georgia,Import,Fish,2794,2668,3516,5036,9186,14767,18625,20818,25068,18703,20687,21345,20899,23003,21227,21253
Asia,India,Export,Crustaceans,140974,150921,188470,201931,204923,215902,200538,165851,157489,163593,200236,272344,289388,300071,368553,400376
Asia,India,Export,Fish,307428,246443,261302,142982,185636,238141,311644,235070,195742,363979,399212,481879,482228,444938,449256,366673
Asia,India,Import,Crustaceans,114,300,823,629,741,1286,862,1188,1355,1205,882,1336,1108,731,851,1405
Asia,India,Import,Fish,3770,4292,2448,3064,4782,9542,9179,11659,11917,9940,19186,25246,18861,16238,21861,23586
Asia,Indonesia,Export,Crustaceans,128567,140485,135990,149675,160351,170169,185184,176259,189323,166755,163981,178844,182722,193204,216390,211210
Asia,Indonesia,Export,Fish,312271,257179,334326,591161,624533,539955,551742,474816,507629,511978,687238,653585,743574,731585,714987,494232
Asia,Indonesia,Import,Crustaceans,3342,1999,2552,2802,13379,2334,1655,3828,4442,5952,4335,6949,8916,9054,7571,6500
Asia,Indonesia,Import,Fish,26542,16101,20469,21155,28214,25298,45533,56492,110950,159216,217174,226657,147252,142546,132987,127417
Asia,Iran (Islamic Rep. of),Export,Crustaceans,1784,769,4576,7529,8129,1044,3255,0,0,4062,2996,4197,9899,11707,11676,13121
Asia,Iran (Islamic Rep. of),Export,Fish,4987,4284,9109,9794,11045,18854,26543,12491,15355,26756,37164,48921,49197,60030,54638,58120
Asia,Iran (Islamic Rep. of),Import,Crustaceans,0,0,0,0,0,0,0,0,4,16,3,0,0,0,0,0
Asia,Iran (Islamic Rep. of),Import,Fish,4913,3130,8421,30799,14524,17317,8014,11907,18038,32328,79422,60753,42705,38541,62415,58054
Asia,Iraq,Export,Fish,104,155,111,110,90,10,104,100,100,100,150,203,230,235,265,120
Asia,Iraq,Import,Crustaceans,0,0,0,7,5,1,4,9,3,10,2,11,47,123,204,204
Asia,Iraq,Import,Fish,56,18,128,1850,7800,8797,19178,24257,34162,38536,38494,39922,39649,38682,38012,36983
Asia,Israel,Export,Fish,291,395,319,333,450,532,664,782,1281,1093,711,223,648,908,686,373
Asia,Israel,Import,Crustaceans,285,429,378,500,514,631,763,973,1386,1494,1742,2420,1501,1917,2453,2310
Asia,Israel,Import,Fish,45759,50764,48418,52895,64007,55478,41802,55896,54350,54229,65914,71580,72206,82608,86809,83923
Asia,Japan,Export,Crustaceans,3671,5691,4712,4384,6317,7180,7103,7937,4477,3960,4330,3135,2591,2490,2967,2958
Asia,Japan,Export,Fish,171505,219415,231336,289749,347964,400915,532569,540387,437580,419721,479942,341388,343994,444741,365530,417559
Asia,Japan,Import,Crustaceans,435178,418837,425284,359054,438248,421473,424884,374489,358433,349733,347281,354500,364430,329623,289456,268306
Asia,Japan,Import,Fish,2125207,2264241,2271741,1953832,2061470,1971499,1766063,1656178,1636757,1508926,1588017,1582772,1596021,1455000,1493485,1536948
Asia,Jordan,Export,Fish,1158,100,115,128,34,16,2,0,43,0,0,0,2,0,0,0
Asia,Jordan,Import,Crustaceans,47,66,42,95,167,201,301,353,405,459,512,525,647,530,607,582
Asia,Jordan,Import,Fish,12386,13596,14316,14822,19251,17255,20970,20349,26874,28135,26629,24227,31871,29364,28383,32383
Asia,Kazakhstan,Export,Crustaceans,0,1,0,1,5,127,192,643,1173,689,89,628,938,111,57,32
Asia,Kazakhstan,Export,Fish,17706,21494,25680,30553,30340,32942,32313,34564,35231,37185,24178,20980,22402,19835,21728,23487
Asia,Kazakhstan,Import,Crustaceans,39,29,40,54,85,181,264,467,492,465,555,663,843,716,921,881
Asia,Kazakhstan,Import,Fish,37033,33938,33083,33398,32443,41477,43549,55840,63653,57875,54254,55929,55295,54326,43943,42243
Asia,"Korea, Dem. People's Rep",Export,Crustaceans,5459,8564,20184,20565,18941,7524,3595,438,509,1630,1718,1607,1043,1075,2749,4005
Asia,"Korea, Dem. People's Rep",Export,Fish,8226,4350,6361,9438,21842,19834,18310,11326,10811,9818,12901,10841,9176,9753,12018,13630
Asia,"Korea, Dem. People's Rep",Import,Crustaceans,967,1075,2702,2101,2154,2852,3277,4077,6351,4557,2669,1766,1840,3166,545,463
Asia,"Korea, Dem. People's Rep",Import,Fish,4665,12471,13721,12469,13694,12604,12309,11340,9809,12856,14196,21230,35069,43096,37773,34698
Asia,"Korea, Republic of",Export,Crustaceans,4517,5188,9141,10402,7462,10645,18311,15305,16966,15988,14186,19960,12740,9764,9755,10359
