Continente,Localidade,Fluxo Comercial,Mercadoria,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,Madagascar,Export,Fish,21292,32858,31532,44766,41393,25103,47121,46675,36164,25848,41277,48849,41346,47991,53683,41873
Africa,Madagascar,Import,Crustaceans,24,310,3,2,1,4685,966,1350,995,9,127,2331,398,172,10,131
Africa,Madagascar,Import,Fish,6632,8293,13641,16512,13623,12918,30973,55444,24870,17570,25936,38793,31811,39280,31729,20096
Africa,Malawi,Export,Fish,143,61,122,560,733,354,1554,259,294,198,276,451,270,254,156,136
Africa,Malawi,Import,Crustaceans,0,7,4,5,1,1,1,0,0,2,17,7,20,65,96,164
Africa,Malawi,Import,Fish,515,278,240,703,522,331,1061,991,1218,2027,1298,1377,967,1772,2471,2283
Africa,Mali,Export,Fish,416,251,200,92,115,62,281,926,130,165,84,249,60,102,204,68
Africa,Mali,Import,Crustaceans,26,16,11,49,37,38,12,4,9,41,111,7,130,63,369,766
Africa,Mali,Import,Fish,1698,1131,649,2366,3424,5217,6478,6832,7786,9601,11538,11042,11247,13008,24304,19592
Africa,Mauritania,Export,Crustaceans,3400,5381,5548,5052,3626,1070,1683,5554,5300,1770,12081,21831,12801,6400,24308,17763
Africa,Mauritania,Export,Fish,36988,35521,39590,32630,27083,35042,37061,56829,65239,33684,71179,119067,142248,143185,186394,203316
Africa,Mauritania,Import,Crustaceans,0,0,0,0,0,0,19,0,0,0,0,0,0,16,36,30
Africa,Mauritania,Import,Fish,29,29,57,61,12,105,120,161,191,430,827,665,737,938,1284,1265
Africa,Mauritius,Export,Crustaceans,1,1,0,295,42,0,42,37,1,0,0,1,0,3,0,0
Africa,Mauritius,Export,Fish,36607,63188,68396,74388,83797,109301,158128,194651,213734,215488,252987,270101,337159,369271,351611,270489
Africa,Mauritius,Import,Crustaceans,5110,6050,4393,5665,6994,7057,8472,11153,12646,9939,10870,12904,14611,13030,14112,12853
Africa,Mauritius,Import,Fish,33459,44762,121212,84206,105693,133376,200247,211284,285827,220740,218350,281264,366599,364567,317464,242975
Africa,Mayotte,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Africa,Mayotte,Export,Fish,10,165,674,1055,746,689,851,837,868,748,741,762,634,588,450,0
Africa,Mayotte,Import,Crustaceans,111,181,128,242,177,227,238,350,425,319,182,51,74,28,0,0
Africa,Mayotte,Import,Fish,885,1184,1533,1759,1811,2095,2592,2508,4037,2940,2478,3351,3380,3469,3002,2662
Africa,Morocco,Export,Crustaceans,55810,53249,55693,62062,58360,89051,106168,154237,153437,150026,173999,199791,203296,191806,205307,182848
Africa,Morocco,Export,Fish,307915,356523,383094,508526,503125,585712,697899,718563,858728,853439,810069,723105,879252,947687,981028,908832
Africa,Morocco,Import,Crustaceans,2723,1844,2461,3810,3401,3960,11938,21553,30608,40385,70289,90872,91307,96632,103233,93137
Africa,Morocco,Import,Fish,4590,6211,8954,14718,26813,29543,43518,35065,35651,45477,41760,46355,35073,50792,81391,68896
Africa,Mozambique,Export,Crustaceans,95903,94028,117069,79036,94746,77975,90816,65824,68668,60392,52319,44962,19779,35896,50770,30651
Africa,Mozambique,Export,Fish,3482,5229,4807,16518,4843,5359,5299,3907,6566,4799,4113,5121,5288,6014,8034,5679
Africa,Mozambique,Import,Crustaceans,557,2,5,16596,17,13,107,220,23,15,4,61,70,174,216,160
Africa,Mozambique,Import,Fish,7958,7680,10494,15736,26932,30306,30809,25902,38097,39362,35387,57727,49510,93198,91658,85165
Africa,Namibia,Export,Crustaceans,6785,9616,10609,3347,7330,9020,9902,9067,12287,13485,10950,14476,9223,10801,17513,15005
Africa,Namibia,Export,Fish,268733,306824,257317,312975,332507,349726,422650,465366,542235,671125,734466,721239,712322,745375,672896,573700
Africa,Namibia,Import,Crustaceans,302,272,113,87,194,347,1516,1020,1480,4577,1608,1423,990,1904,1853,1288
Africa,Namibia,Import,Fish,19290,11194,6626,8817,16536,18040,17819,32627,31925,44650,33498,28658,25011,24906,27574,28803
Africa,Niger,Export,Fish,1599,4330,4344,4841,3308,2229,547,309,386,326,563,789,773,1112,1037,260
Africa,Niger,Import,Crustaceans,4,4,3,2,3,3,7,6,4,6,11,15,14,15,9,23
Africa,Niger,Import,Fish,497,614,249,428,493,572,784,749,1293,1341,1784,1168,1993,2249,2032,5839
Africa,Nigeria,Export,Crustaceans,11387,10579,14882,15140,26300,53496,42895,46310,70180,152830,160282,82509,78822,175644,93563,69142
Africa,Nigeria,Export,Fish,1085,1809,1778,2015,3567,2676,844,3089,1983,433,533,18002,20938,87466,8075,8710
Africa,Nigeria,Import,Crustaceans,8,0,31,11,96,40,140,179,0,135,180,8765,1285,8163,972,2586
Africa,Nigeria,Import,Fish,179520,447538,360586,480368,499011,607887,765042,884338,609944,772156,928752,1951132,1419637,1174951,1310608,1198997
Africa,Rwanda,Export,Crustaceans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
Africa,Rwanda,Export,Fish,0,0,0,0,0,57,1,21,91,287,200,83,231,149,1179,2064
Africa,Rwanda,Import,Crustaceans,29,4,0,17,0,3,2,3,4,8,5,11,7,5,39,27
Africa,Rwanda,Import,Fish,82,112,173,118,27,34,453,3022,1783,2358,3786,6643,8203,8729,17966,21973
Africa,Saint Helena,Export,Crustaceans,3806,4899,4436,4247,3462,3163,2969,3143,5615,5436,6353,4223,5982,6116,4896,5682
Africa,Saint Helena,Export,Fish,189,1273,2493,1214,1949,1839,2259,4640,7670,3975,3328,6972,4038,3663,5983,11931
Africa,Saint Helena,Import,Crustaceans,0,58,0,195,111,7,90,5,8,5,1,3,3,15,81,28
Africa,Saint Helena,Import,Fish,220,78,75,126,35,197,421,110,51,35,79,40,24,90,117,96
Africa,Sao Tome and Principe,Export,Crustaceans,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Sao Tome and Principe,Export,Fish,57,270,77,0,0,0,16,6,1,2,2,0,0,1,3,4
Africa,Sao Tome and Principe,Import,Crustaceans,0,1,0,2,2,3,9,10,39,30,26,43,55,85,86,83
Africa,Sao Tome and Principe,Import,Fish,63,6,15,26,18,14,64,131,123,125,117,249,262,282,259,170
Africa,Senegal,Export,Crustaceans,53603,75090,29159,41280,44710,45912,39597,31516,18554,20602,28519,26645,22288,26521,30554,28963
Africa,Senegal,Export,Fish,152136,156250,120283,139838,196807,155348,153569,200877,155116,171538,166681,198064,175546,227059,306758,259976
